ID,POS,Name,Age,Prone,INT,WE,B,T,POT,STU P,MOV P,CONT P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KNP,PIT,VELO,HLD,STM,KCP,Slot,PT,G/F,CON P,GAP P,POW P,EYE P,K P,C ABI,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,STE,RUN,DEM,Sign,SctAcc
56617,CF,Mike Scarcella,17,Normal,Normal,Normal,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,40,40,20,35,70,20,25,40,30,40,30,50,45,55,45,40,30,Slot,Hard,High
56618,LF,Johnny Arnwine,18,Durable,Normal,Low,L,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,35,55,45,45,45,20,20,25,25,45,20,35,40,55,25,35,45,Slot,Extremely Hard,High
56619,1B,JOSH BILL,18,Durable,Low,Normal,R,R,40,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,35,30,70,75,30,20,20,30,35,35,20,25,20,30,25,20,20,$700k,Hard,Very High
56620,SP,Mike Augustine,18,Normal,High,Normal,R,R,25,40,45,55,60,25,-,65,-,-,-,-,-,-,-,3,90-92 Mph,20,70,-,Over the Top,Finesse,NEU,20,35,20,25,20,20,20,35,25,35,20,50,25,35,25,25,20,$500k,Extremely Hard,Very High
56621,3B,Chris Wickham,17,Normal,Normal,Normal,R,R,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,45,50,45,45,55,20,20,45,40,50,30,20,40,55,40,35,30,Slot,Extremely Hard,Very High
56622,SP,Steve Hoffer,18,Normal,Normal,Normal,R,R,20,30,40,45,40,50,50,-,-,-,-,-,-,-,-,3,84-86 Mph,55,55,-,Normal (3/4),Normal,NEU,35,35,20,25,60,25,20,25,25,50,30,20,25,35,25,20,20,Slot,Extremely Hard,Very High
56623,SP,Chris McNutt,18,Normal,Normal,Normal,L,L,20,30,30,30,50,20,55,-,-,-,-,-,-,-,-,3,85-87 Mph,75,50,-,Over the Top,Normal,NEU,35,30,20,20,50,20,20,20,45,30,20,35,30,35,25,20,20,Slot,Hard,Very High
56624,CF,Marc Heitzman,18,Durable,Normal,Normal,L,L,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,35,45,20,45,45,20,25,60,60,50,20,60,50,65,65,65,55,Slot,Extremely Hard,Very High
56625,SP,Dusty Young,18,Normal,Normal,Low,L,L,20,40,25,35,-,50,50,30,-,-,45,40,-,-,-,5,86-88 Mph,75,55,-,Normal (3/4),Normal,NEU,30,30,20,20,40,20,20,25,25,45,20,35,40,35,25,20,20,Slot,Extremely Hard,Very High
56626,SP,Steve Henderson,18,Normal,Normal,Normal,R,L,35,45,60,40,-,55,-,65,60,-,-,-,-,-,-,3,90-92 Mph,80,50,-,Over the Top,GB'er,EX GB,30,30,20,20,35,20,20,20,30,70,20,50,25,30,25,20,25,$1.4m,Hard,Very High
56627,RF,Isaiah Battle,18,Normal,Normal,High,L,L,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,45,45,35,40,60,20,20,45,35,35,20,45,40,45,60,50,45,Slot,Extremely Hard,Very High
56628,SP,Tim Marino,18,Normal,Normal,High,R,R,20,40,55,45,60,20,60,-,-,-,-,-,-,-,-,3,91-93 Mph,50,75,-,Normal (3/4),GB'er,GB,25,25,20,25,40,25,20,30,35,40,20,40,40,35,25,25,25,Slot,Extremely Hard,Very High
56629,SP,ETHAN HOLDER,18,Normal,Normal,Normal,L,L,40,45,45,50,55,50,-,50,-,55,-,-,-,-,-,4,90-92 Mph,65,50,-,Normal (3/4),Normal,NEU,25,25,25,25,25,20,20,30,30,50,25,30,25,35,30,30,30,$1.5m,Extremely Hard,Very High
56630,RP,Jon Cassel,18,Durable,Normal,Low,R,R,20,25,30,35,35,25,-,45,-,-,-,-,-,-,-,3,80-83 Mph,25,40,-,Over the Top,Normal,NEU,30,30,20,20,45,20,20,30,25,50,25,35,20,25,25,25,35,Slot,Hard,High
56631,SP,Tim McCarthy,18,Durable,High,Normal,R,R,20,25,25,35,35,-,35,35,-,-,-,-,-,-,-,3,83-85 Mph,35,60,-,Over the Top,Normal,NEU,25,25,25,25,30,20,20,30,30,45,30,35,30,30,20,20,20,Slot,Extremely Hard,High
56632,SP,Tony Jimenez,18,Durable,Normal,Normal,L,R,20,40,30,40,-,25,-,60,-,-,55,-,-,-,-,3,89-91 Mph,35,65,-,Over the Top,Normal,NEU,35,30,25,25,50,20,20,25,25,50,30,30,25,20,25,20,20,Slot,Extremely Hard,Very High
56633,SS,Mike Phillips,18,Normal,Normal,High,R,R,20,35,30,40,-,65,-,-,-,-,45,-,-,-,-,2,86-88 Mph,65,40,-,Normal (3/4),Normal,NEU,35,40,20,40,50,20,20,50,50,50,50,50,50,50,65,40,35,Slot,Extremely Hard,Very High
56634,SP,MIKE STOTT,18,Normal,High,High,R,R,55,50,60,45,55,55,-,55,-,-,-,60,-,-,-,4,91-93 Mph,50,65,-,Sidearm,GB'er,EX GB,30,30,20,20,40,20,20,25,40,65,30,30,20,30,25,20,20,$6.0m,Extremely Hard,Very High
56635,SP,Jeff Bishop,18,Durable,Normal,High,R,R,20,30,30,35,40,40,-,-,-,-,40,40,-,-,-,4,85-87 Mph,55,65,-,Normal (3/4),Normal,NEU,35,30,20,20,50,20,20,30,25,50,30,25,30,40,25,25,20,Slot,Extremely Hard,High
56636,SP,Chad Morgan,18,Durable,Normal,Normal,S,R,20,40,35,45,45,60,-,55,-,-,-,-,-,-,-,3,87-89 Mph,25,80,-,Normal (3/4),Normal,NEU,20,25,25,20,25,20,20,30,25,65,25,30,30,25,30,20,25,$500k,Extremely Hard,High
56637,1B,DREW BAILEY JR.,18,Durable,Normal,Normal,R,R,35,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,25,20,-,Normal (3/4),Normal,FB,45,50,50,45,50,20,20,45,40,35,20,25,30,35,20,20,30,$750k,Extremely Hard,Very High
56638,C,Robby Wachtel,18,Durable,High,Normal,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,40,40,30,30,55,50,45,65,45,35,25,20,40,35,30,20,20,Slot,Extremely Hard,High
56639,C,Nate Dickson,18,Durable,Low,Normal,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,45,25,45,40,30,50,35,35,50,25,30,35,50,50,60,60,Slot,Extremely Hard,High
56640,SP,Jon Davis,18,Normal,Normal,High,R,R,20,30,25,35,35,50,40,30,-,-,-,40,-,-,-,5,84-86 Mph,25,50,-,Normal (3/4),Normal,NEU,35,25,20,20,50,20,20,25,25,45,20,35,25,30,25,20,20,Slot,Extremely Hard,High
56641,2B,Mike Taylor,18,Normal,Normal,Normal,R,R,20,30,25,40,40,25,-,50,-,-,-,-,-,-,-,3,84-86 Mph,50,55,-,Normal (3/4),Normal,NEU,40,30,20,40,60,20,20,40,35,30,50,25,45,25,60,55,50,Slot,Extremely Hard,Very High
56642,SP,Sid Holly,18,Normal,Normal,Low,L,R,20,30,30,30,40,25,60,-,-,-,-,-,-,-,-,3,83-85 Mph,60,50,-,Normal (3/4),Normal,NEU,20,30,20,25,25,20,20,25,30,40,30,35,30,35,20,20,20,Slot,Extremely Hard,Very High
56643,SP,Zach Adams,18,Normal,Normal,Low,R,R,20,30,25,40,40,-,50,-,-,-,-,-,50,-,-,3,85-87 Mph,30,75,-,Normal (3/4),Normal,NEU,35,25,20,25,55,20,20,30,25,60,25,35,35,35,25,20,20,Slot,Extremely Hard,Very High
56644,SP,Eric Shockley,18,Durable,Normal,High,L,L,20,25,25,40,40,20,-,55,-,-,-,-,-,-,-,3,80-83 Mph,60,55,-,Normal (3/4),Normal,FB,25,30,20,20,30,20,20,25,25,45,25,35,30,30,20,20,20,Slot,Extremely Hard,Very High
56645,SP,Tim Strickland,18,Normal,Normal,Low,L,R,20,30,25,30,35,50,45,40,-,-,-,-,-,-,-,4,84-86 Mph,40,70,-,Over the Top,Normal,NEU,35,30,20,20,50,20,20,30,25,40,20,25,30,25,25,20,20,Slot,Extremely Hard,High
56646,SP,Mike Stiebing,17,Normal,Normal,High,R,R,20,35,25,35,45,-,50,50,-,-,-,-,-,-,-,3,88-90 Mph,30,70,-,Over the Top,Normal,NEU,20,35,20,20,25,25,20,30,35,45,25,30,30,50,25,25,20,Slot,Easy,High
56647,2B,Steve Hope,18,Normal,Normal,High,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,EX FB,35,40,20,50,45,20,25,45,45,40,45,30,35,35,65,60,65,Slot,Extremely Hard,High
56648,SP,Ray Perez,18,Normal,Normal,High,R,R,20,40,30,55,-,25,65,-,-,-,50,-,-,-,-,3,87-89 Mph,65,55,-,Normal (3/4),Normal,NEU,35,30,20,25,55,20,20,25,25,60,25,30,30,25,25,25,35,Slot,Extremely Hard,High
56649,3B,Karson Hammel,18,Normal,Normal,High,L,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,EX FB,30,35,45,45,35,20,20,45,45,65,35,40,45,65,25,30,20,Slot,Hard,High
56650,CF,Chris Carreno,18,Normal,Normal,Normal,L,L,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,35,55,50,35,45,20,20,60,45,60,20,60,80,70,65,65,45,$650k,Extremely Hard,Very High
56651,SP,Chris Coyne,18,Durable,Normal,Low,R,R,40,45,50,50,55,60,45,-,-,-,-,-,-,-,-,3,87-89 Mph,25,65,-,Over the Top,Normal,NEU,20,30,20,25,25,20,20,35,30,35,35,35,35,30,20,20,20,$1.4m,Extremely Hard,High
56652,CF,Chuck Perry,18,Normal,Normal,High,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,35,35,20,45,50,20,25,30,25,50,25,55,40,55,55,35,45,Slot,Hard,High
56653,SP,Tommie Caraher,17,Normal,High,High,L,R,20,35,30,35,45,20,55,-,-,-,-,-,-,-,-,3,86-88 Mph,75,65,-,Normal (3/4),Normal,NEU,35,30,20,20,50,20,25,35,30,45,20,30,25,30,20,20,20,Slot,Extremely Hard,High
56654,3B,Mike Faust,17,Normal,Normal,High,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Sidearm,Normal,FB,35,40,50,50,45,20,20,45,40,55,35,35,40,60,25,25,25,Slot,Extremely Hard,Very High
56655,RP,Josh Lucas,18,Normal,Normal,High,R,R,20,40,25,35,40,45,50,30,-,-,-,35,-,-,-,5,85-87 Mph,50,45,-,Over the Top,Normal,NEU,30,25,20,25,50,20,20,35,30,40,25,25,30,25,25,20,20,Slot,Extremely Hard,Very High
56656,2B,Chris Ruiz,17,Normal,Low,Low,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,40,65,45,50,45,25,20,55,50,45,40,30,30,35,45,20,20,$550k,Extremely Hard,Very High
56657,2B,Chris Erlandson,18,Normal,Normal,High,L,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,40,40,30,50,45,20,25,45,40,35,50,35,40,25,35,40,30,Slot,Extremely Hard,Very High
56658,2B,Alexis Aguayo,18,Durable,Normal,High,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,NEU,35,35,25,40,55,20,20,45,35,35,45,40,40,30,60,60,70,Slot,Hard,Very High
56659,RP,Zach Peltz,17,Normal,Normal,Normal,R,L,20,40,25,35,45,25,-,-,-,-,-,-,-,-,-,3,84-86 Mph,55,50,60,Normal (3/4),Normal,FB,25,30,25,20,25,20,20,30,35,55,20,20,25,20,30,30,20,Slot,Normal,High
56660,SP,Bill Perez,18,Durable,High,Normal,L,L,30,50,50,50,65,25,-,-,55,-,-,-,-,-,-,3,88-90 Mph,60,65,-,Over the Top,GB'er,EX GB,30,30,20,20,45,20,20,30,20,45,20,35,20,35,20,20,25,$550k,Extremely Hard,High
56661,CF,JOE LAGEN,18,Durable,Normal,High,L,L,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,35,60,40,55,45,20,20,35,30,55,20,60,50,60,65,35,40,Slot,Extremely Hard,Very High
56662,SP,JOSE VASQUEZ,17,Durable,Normal,Normal,L,R,50,50,50,55,65,65,60,-,-,-,-,-,-,-,-,3,92-94 Mph,50,50,-,Over the Top,GB'er,GB,30,30,20,20,40,20,20,35,35,35,30,30,25,40,25,20,20,$2.6m,Extremely Hard,Very High
56663,SP,Karl Wigmore,17,Durable,Normal,Low,R,R,20,25,25,35,-,55,40,-,-,-,35,-,-,-,-,3,80-83 Mph,40,65,-,Normal (3/4),Normal,NEU,25,35,20,25,30,20,20,30,25,45,25,25,25,35,30,25,20,Slot,Extremely Hard,Very High
56664,CF,Jeff Denton,18,Durable,Normal,High,L,L,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,40,50,40,45,55,20,20,60,40,35,20,55,45,45,45,60,70,Slot,Extremely Hard,Very High
56665,RP,Dan Mims,17,Durable,Normal,Low,R,R,20,45,30,30,45,-,55,-,-,-,-,-,60,-,-,3,86-88 Mph,50,50,-,Normal (3/4),Normal,NEU,30,25,25,20,50,20,20,30,25,50,20,40,30,30,20,20,25,Slot,Hard,High
56666,C,Steve Whisenhunt,17,Durable,Normal,High,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,83-85 Mph,20,20,-,Normal (3/4),Normal,EX FB,45,40,30,45,50,35,40,35,35,30,20,30,40,30,25,25,20,Slot,Normal,Very High
56667,SS,MARIO CIENFUEGOS,18,Normal,Normal,Normal,S,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,35,45,45,45,50,20,20,60,45,50,45,45,50,55,55,45,25,Slot,Easy,Very High
56668,SP,Julio Ramirez,18,Durable,Normal,Normal,R,R,20,40,35,40,55,-,-,50,-,50,-,-,-,-,-,4,90-92 Mph,60,60,25,Normal (3/4),Normal,NEU,20,35,20,20,25,20,20,30,30,40,25,30,30,20,30,20,20,Slot,Extremely Hard,Very High
56669,CF,DAVE SCHOONOVER,18,Durable,Normal,High,R,R,40,45,50,60,55,25,70,-,-,-,-,-,-,-,-,3,87-89 Mph,35,65,-,Over the Top,Normal,NEU,65,60,45,30,75,20,20,30,25,35,30,60,45,55,65,50,55,Slot,Hard,Very High
56670,SP,Tommie Schaefer,18,Durable,Normal,Low,R,R,20,40,25,30,40,50,-,40,-,-,40,40,-,-,-,5,86-88 Mph,50,50,-,Sidearm,Normal,FB,20,30,20,20,20,20,20,25,40,55,40,35,25,35,20,20,25,Slot,Extremely Hard,Very High
56671,SP,Sean Harrison,18,Fragile,Low,High,S,R,20,35,30,35,45,-,50,-,-,45,-,-,-,-,-,3,85-87 Mph,65,65,-,Over the Top,Normal,NEU,25,30,20,20,30,20,20,25,30,55,20,35,30,30,20,20,20,Slot,Extremely Hard,Very High
56672,RP,Joe Cameron,18,Normal,Normal,Normal,R,R,20,30,25,35,40,20,-,50,-,-,-,-,-,-,-,3,83-85 Mph,65,45,-,Over the Top,Normal,FB,35,30,20,20,45,20,20,25,30,40,25,25,25,30,20,20,20,Slot,Extremely Hard,Very High
56673,RP,Josh Mangrum,18,Durable,Normal,Normal,R,R,45,55,45,45,55,25,-,65,-,-,-,-,-,-,-,3,88-90 Mph,25,45,-,Normal (3/4),GB'er,GB,35,25,20,20,45,20,20,25,30,45,30,40,30,25,25,20,20,Slot,Extremely Hard,Very High
56674,SP,Jaden Campbell,18,Normal,Normal,Low,L,L,20,30,25,35,45,-,-,55,-,-,-,-,-,-,-,2,84-86 Mph,60,55,-,Over the Top,Normal,FB,20,30,20,25,20,25,20,35,25,45,20,35,25,45,20,20,25,Slot,Extremely Hard,High
56675,SP,Jake Clausen,18,Durable,High,High,L,L,20,30,25,40,40,20,60,-,-,-,-,-,-,-,-,3,83-85 Mph,70,70,-,Over the Top,Normal,NEU,25,30,25,20,30,20,20,35,35,40,20,40,35,35,25,20,20,Slot,Extremely Hard,Very High
56676,C,Ben Zapata,18,Durable,Normal,Normal,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Sidearm,Normal,FB,30,30,20,60,45,55,45,40,40,40,25,30,30,45,20,20,20,Slot,Extremely Hard,Very High
56677,SS,Andy Esparza,18,Normal,Normal,High,R,R,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,45,40,40,35,55,20,20,55,45,55,60,40,45,55,45,45,35,$490k,Extremely Hard,Very High
56678,1B,Mike Schlies,18,Durable,High,High,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,55,45,35,30,70,20,20,30,30,30,25,35,20,40,35,30,35,Slot,Extremely Hard,Very High
56679,2B,Phil Fisher,18,Durable,Normal,High,L,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,45,30,20,35,65,20,20,45,45,45,50,30,40,40,30,40,55,Slot,Normal,Very High
56680,RF,Martin Strickland,18,Durable,High,Low,L,L,20,45,30,35,-,70,-,-,-,-,55,-,-,-,-,2,87-89 Mph,55,45,-,Normal (3/4),Normal,NEU,30,30,45,40,35,20,20,25,25,50,20,45,40,70,25,20,25,Slot,Extremely Hard,High
56681,SP,Justin Gibson,18,Durable,Low,Low,L,L,20,30,25,25,45,30,-,50,-,-,-,-,-,-,-,3,84-86 Mph,65,55,-,Normal (3/4),Normal,NEU,30,30,20,25,45,20,20,25,25,45,20,25,25,35,25,20,20,Slot,Normal,Very High
56682,SP,Tim Cupp,17,Durable,Normal,Normal,R,R,20,25,30,40,40,35,60,-,-,-,-,-,-,-,-,3,80-83 Mph,45,50,-,Over the Top,Normal,NEU,20,25,25,20,25,20,20,25,25,40,20,30,30,50,25,20,25,Slot,Extremely Hard,Very High
56683,RF,RICK QUIROZ,18,Durable,High,Normal,L,L,35,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,NEU,35,60,60,40,45,20,25,35,30,40,20,45,65,55,35,40,45,$550k,Extremely Hard,Very High
56684,SP,Mike Lee,18,Fragile,Low,High,R,R,20,25,35,30,35,30,45,-,-,-,-,-,-,-,-,3,83-85 Mph,75,75,-,Over the Top,Normal,NEU,30,30,20,20,45,20,20,30,25,50,20,50,25,35,25,25,30,Slot,Easy,High
56685,SP,Mike Frazier,18,Normal,High,Normal,R,R,20,35,30,35,45,40,-,55,-,-,-,-,-,-,-,3,85-87 Mph,25,70,-,Normal (3/4),Normal,NEU,25,30,20,25,30,20,20,25,25,60,25,40,40,35,20,20,20,Slot,Extremely Hard,High
56686,CF,OMAR QUINTANILLA,18,Durable,Normal,High,R,R,50,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Sidearm,Normal,FB,45,55,55,50,50,25,20,45,40,65,35,65,70,75,75,55,40,$1.2m,Extremely Hard,Very High
56687,CF,EDDIE CAHILL,17,Normal,Normal,Normal,L,L,45,30,25,40,40,50,50,-,-,-,-,-,-,-,-,3,84-86 Mph,60,70,-,Over the Top,Normal,NEU,40,50,55,55,45,25,20,35,25,75,20,70,60,65,35,40,30,$1.8m,Extremely Hard,Very High
56688,CF,Dave Kahle,18,Durable,Normal,Normal,R,L,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,35,30,30,25,50,20,20,35,25,40,20,60,35,45,60,50,55,Slot,Extremely Hard,Very High
56689,RF,Chris Kunz,18,Durable,Normal,Normal,L,L,20,40,30,40,-,25,65,-,-,-,50,-,-,-,-,3,88-90 Mph,55,65,-,Normal (3/4),Normal,NEU,30,30,25,55,45,20,20,30,25,45,20,50,35,45,30,25,20,Slot,Extremely Hard,High
56690,SP,Jeremy Ruszkowski,17,Durable,Normal,Low,L,L,20,35,30,35,45,-,50,-,45,-,-,-,-,-,-,3,85-87 Mph,60,70,-,Normal (3/4),Normal,NEU,30,30,20,20,40,20,20,25,35,40,20,20,25,20,20,20,20,Slot,Extremely Hard,High
56691,RF,IAN ZIMMER,18,Durable,High,Normal,L,R,40,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,NEU,45,55,55,55,45,20,20,30,25,50,20,45,40,65,30,30,25,$500k,Extremely Hard,Very High
56692,SP,Chris Gargano,18,Durable,Normal,Normal,S,R,20,35,25,40,-,25,65,-,-,-,45,-,-,-,-,3,85-87 Mph,45,55,-,Normal (3/4),Normal,NEU,25,30,20,25,30,20,20,30,35,45,25,35,40,40,25,20,20,Slot,Extremely Hard,Very High
56693,CF,PAT FOSTER,17,Normal,Normal,Normal,R,R,45,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,45,65,65,25,50,20,20,65,50,55,55,60,50,70,60,45,40,$2.6m,Extremely Hard,Very High
56694,SS,Jeremy Butler,17,Durable,Normal,Low,R,R,20,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,NEU,30,30,25,40,50,20,20,45,35,50,40,40,40,50,65,45,25,Slot,Extremely Hard,High
56695,3B,Jimmy Ward,18,Normal,Normal,Low,R,R,20,30,25,35,40,45,40,40,-,35,-,40,-,-,-,6,84-86 Mph,35,55,-,Normal (3/4),Normal,FB,30,40,35,45,40,20,20,50,45,70,35,30,45,70,30,40,45,Slot,Hard,Very High
56696,SP,Eric Rosenwinkel,18,Normal,Normal,High,R,R,20,35,30,35,35,30,45,45,-,-,-,40,-,-,-,5,87-89 Mph,35,55,-,Normal (3/4),Normal,NEU,40,25,20,20,55,20,20,25,30,45,25,35,30,30,25,25,30,Slot,Extremely Hard,High
56697,2B,Jimmy Overly,18,Normal,Normal,High,L,R,20,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,50,50,25,35,65,20,20,50,45,40,40,45,40,30,45,35,45,Slot,Hard,Very High
56698,SP,Tyler Fair,18,Normal,Normal,Low,R,R,20,40,25,40,-,55,50,30,-,-,45,-,-,-,-,4,87-89 Mph,50,60,-,Over the Top,Normal,NEU,25,30,20,25,30,20,20,30,20,40,30,30,25,45,25,20,20,Slot,Hard,Very High
56699,RP,Chris Long,18,Normal,Normal,Normal,R,R,20,45,30,40,55,20,-,60,-,-,-,-,-,-,-,3,87-89 Mph,45,40,-,Over the Top,Normal,NEU,30,30,20,25,40,20,20,25,30,50,25,35,25,30,35,20,35,Slot,Hard,High
56700,SP,Sean Currier,18,Normal,High,Low,L,L,20,30,25,45,35,45,35,35,-,35,-,30,-,-,-,6,83-85 Mph,75,55,-,Over the Top,Normal,FB,30,30,30,20,30,20,20,30,35,45,20,30,30,35,20,20,20,Slot,Extremely Hard,High
56701,SP,Juan Sierra,18,Durable,Normal,Normal,L,R,20,25,50,55,40,25,-,50,-,-,-,-,-,-,-,3,80-83 Mph,60,60,-,Normal (3/4),Normal,NEU,30,30,20,20,35,20,20,25,30,45,25,30,30,30,25,20,20,Slot,Extremely Hard,Very High
56702,SP,Jorge Gomez,17,Durable,Normal,High,R,R,20,30,30,35,40,25,50,-,-,-,-,-,-,-,-,3,84-86 Mph,60,65,-,Over the Top,Normal,NEU,25,30,30,20,35,20,20,25,25,50,25,30,20,35,25,20,20,Slot,Normal,High
56703,RF,VIC SHIPP,18,Durable,Normal,Low,L,L,40,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,35,55,60,60,40,20,20,30,25,60,20,50,45,70,45,35,25,$900k,Normal,Very High
56704,SP,Eric Kelly,18,Durable,High,Low,R,R,20,40,25,40,45,-,50,-,-,-,-,-,55,-,-,3,86-88 Mph,60,65,-,Normal (3/4),Normal,FB,20,25,20,20,25,20,20,25,25,45,20,40,30,55,40,30,20,Slot,Extremely Hard,Very High
56705,3B,Steve Briggs,18,Normal,Normal,Normal,L,R,25,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,40,50,25,45,55,20,20,45,40,65,35,35,40,55,40,40,25,Slot,Extremely Hard,High
56706,CF,Tim Rose,18,Normal,Low,Normal,R,R,25,30,30,30,45,25,-,60,-,-,-,-,-,-,-,3,84-86 Mph,45,55,-,Over the Top,Normal,FB,35,50,25,45,40,20,20,30,20,40,30,60,40,50,60,60,45,Slot,Extremely Hard,High
56707,2B,Josh Green,18,Normal,Normal,Normal,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,40,45,20,35,60,20,20,50,50,40,55,45,45,30,50,40,45,Slot,Extremely Hard,High
56708,SS,Jim Herman,18,Durable,Normal,High,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,NEU,40,35,25,30,60,20,20,55,55,60,50,50,45,65,55,30,25,Slot,Extremely Hard,Very High
56709,CF,Steve Dunaway,18,Durable,Normal,High,L,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,40,30,30,30,60,20,20,50,40,55,45,50,50,65,55,25,30,Slot,Hard,Very High
56710,SP,Jeremy McCorkle,18,Normal,Normal,Normal,R,R,20,25,40,35,40,25,-,-,45,-,-,-,-,-,-,3,84-86 Mph,55,55,-,Normal (3/4),Normal,NEU,30,30,20,20,40,20,20,25,45,50,25,20,25,20,20,20,20,Impossible,Impossible,Very High
56711,CF,Mike Ward,18,Normal,High,High,L,L,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,35,55,55,45,35,20,20,50,35,35,20,55,50,50,55,30,25,$490k,Extremely Hard,Very High
56712,SP,Josh Blackett,18,Durable,Normal,Normal,R,R,20,35,40,40,40,50,-,-,-,40,45,-,-,-,-,4,86-88 Mph,25,50,-,Normal (3/4),Normal,NEU,30,30,20,25,40,20,20,30,25,50,30,30,30,30,25,20,20,Slot,Extremely Hard,Very High
56713,RF,Walt O'Brien,18,Normal,Normal,Normal,L,L,25,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,40,40,45,40,55,20,20,35,30,35,20,50,45,40,55,55,55,Slot,Extremely Hard,Very High
